class,precision,recall,f1,support
banana__healthy,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
banana__segatoka,0.9523809523809523,0.8888888888888888,0.9195402298850575,45.0
banana__xamthomonas,0.8085106382978723,0.8444444444444444,0.8260869565217391,45.0
betel_leaf__bacterial_leaf_disease,1.0,0.8222222222222222,0.9024390243902439,45.0
betel_leaf__dried_leaf,1.0,1.0,1.0,45.0
betel_leaf__fungal_brown_spot_disease,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
betel_leaf__healthy_leaf,0.8653846153846154,1.0,0.9278350515463918,45.0
black_gram__anthracnose,0.9714285714285714,1.0,0.9855072463768116,34.0
black_gram__healthy,1.0,1.0,1.0,33.0
black_gram__leaf_crinckle,1.0,1.0,1.0,23.0
black_gram__powdery_mildew,1.0,0.9629629629629629,0.9811320754716981,27.0
black_gram__yellow_mosaic,1.0,1.0,1.0,34.0
chilli__cercospora,0.9574468085106383,1.0,0.9782608695652174,45.0
chilli__healthy,0.8717948717948718,0.7555555555555555,0.8095238095238095,45.0
chilli__mites_and_trips,0.8,0.9777777777777777,0.88,45.0
chilli__nutritional,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
chilli__powdery_mildew,1.0,1.0,1.0,45.0
coconut__bud_root_dropping,1.0,1.0,1.0,45.0
coconut__bud_rot,1.0,1.0,1.0,45.0
coconut__gray_leaf_spot,0.9574468085106383,1.0,0.9782608695652174,45.0
coconut__leaf_rot,1.0,0.9555555555555556,0.9772727272727273,45.0
coconut__stem_bleeding,1.0,1.0,1.0,45.0
coffee__cerscospora,1.0,0.9333333333333333,0.9655172413793104,45.0
coffee__healthy,1.0,1.0,1.0,45.0
coffee__leaf_rust,1.0,1.0,1.0,45.0
coffee__miner,0.9375,1.0,0.967741935483871,45.0
coffee__phoma,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
cucumber__anthracnose,1.0,0.8444444444444444,0.9156626506024096,45.0
cucumber__bacterial_wilt,1.0,0.9555555555555556,0.9772727272727273,45.0
cucumber__belly_rot,0.9782608695652174,1.0,0.989010989010989,45.0
cucumber__downy_mildew,0.9375,1.0,0.967741935483871,45.0
cucumber__fresh_cucumber,1.0,0.9777777777777777,0.9887640449438202,45.0
cucumber__fresh_leaf,1.0,0.9777777777777777,0.9887640449438202,45.0
cucumber__gummy_stem_blight,0.8823529411764706,1.0,0.9375,45.0
cucumber__pythium_fruit_rot,1.0,1.0,1.0,45.0
guava__canker,0.8,0.3333333333333333,0.47058823529411764,12.0
guava__dot,0.4,0.5454545454545454,0.46153846153846156,11.0
guava__mummification,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
guava__rust,0.5555555555555556,0.5,0.5263157894736842,10.0
jamun__bacterial_spot,1.0,1.0,1.0,45.0
jamun__brown_blight,1.0,1.0,1.0,45.0
jamun__dry,1.0,1.0,1.0,45.0
jamun__healthy,1.0,1.0,1.0,45.0
jamun__powdery_mildew,1.0,1.0,1.0,45.0
jamun__sooty_mold,1.0,1.0,1.0,45.0
maize__blight,0.8913043478260869,0.9111111111111111,0.9010989010989011,45.0
maize__common_rust,1.0,0.9777777777777777,0.9887640449438202,45.0
maize__gray_leaf_spot,0.8888888888888888,0.8888888888888888,0.8888888888888888,45.0
maize__healthy,1.0,1.0,1.0,45.0
onion__healthy,0.8269230769230769,0.9555555555555556,0.8865979381443299,45.0
onion__iris_yellow_virus,0.9705882352941176,0.7333333333333333,0.8354430379746836,45.0
onion__leaf_blight,0.9090909090909091,0.8888888888888888,0.898876404494382,45.0
onion__purple_blotch,0.9,1.0,0.9473684210526315,45.0
orange__citrus_canker,1.0,1.0,1.0,45.0
orange__citrus_greening,0.9743589743589743,1.0,0.987012987012987,38.0
orange__citrus_mealybugs,1.0,1.0,1.0,45.0
orange__die_back,1.0,1.0,1.0,45.0
orange__foliage_damaged,1.0,1.0,1.0,45.0
orange__healthy_leaf,1.0,1.0,1.0,45.0
orange__powdery_mildew,1.0,0.9555555555555556,0.9772727272727273,45.0
orange__shot_hole,1.0,1.0,1.0,45.0
orange__spiny_whitefly,1.0,1.0,1.0,45.0
orange__yellow_dragon,0.9782608695652174,1.0,0.989010989010989,45.0
orange__yellow_leaves,1.0,1.0,1.0,45.0
papaya__anthracnose,0.8269230769230769,0.9555555555555556,0.8865979381443299,45.0
papaya__bacterialspot,0.7714285714285715,0.6,0.675,45.0
papaya__curl,0.7068965517241379,0.9111111111111111,0.7961165048543689,45.0
papaya__healthy,0.8918918918918919,0.9705882352941176,0.9295774647887324,34.0
papaya__ringspot,1.0,0.7333333333333333,0.8461538461538461,45.0
rice__bacterial_leaf_blight,0.7471264367816092,0.7222222222222222,0.7344632768361582,90.0
rice__bacterial_leaf_streak,0.6507936507936508,0.9111111111111111,0.7592592592592593,45.0
rice__bacterial_panicle_blight,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
rice__blast,0.5692307692307692,0.8222222222222222,0.6727272727272727,45.0
rice__brown_spot,0.8857142857142857,0.6888888888888889,0.775,90.0
rice__dead_heart,0.88,0.9777777777777777,0.9263157894736842,45.0
rice__downy_mildew,0.8823529411764706,0.6666666666666666,0.759493670886076,45.0
rice__healthy_rice_leaf,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
rice__hispa,0.8387096774193549,0.5777777777777777,0.6842105263157895,45.0
rice__leaf_blast,0.7288135593220338,0.9555555555555556,0.8269230769230769,45.0
rice__leaf_scald,0.9523809523809523,0.4444444444444444,0.6060606060606061,45.0
rice__normal,0.7454545454545455,0.9111111111111111,0.82,45.0
rice__sheath_blight,0.8490566037735849,1.0,0.9183673469387755,45.0
rice__tungro,0.8809523809523809,0.8222222222222222,0.8505747126436781,45.0
sunflower__downy_mildew,0.9090909090909091,0.8888888888888888,0.898876404494382,45.0
sunflower__fresh_leaf,0.9574468085106383,1.0,0.9782608695652174,45.0
sunflower__gray_mold,1.0,1.0,1.0,45.0
sunflower__leaf_scars,0.9111111111111111,0.9111111111111111,0.9111111111111111,45.0
tea__algal_spot,1.0,1.0,1.0,45.0
tea__brown_blight,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
tea__gray_blight,0.8627450980392157,0.9777777777777777,0.9166666666666666,45.0
tea__healthy,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
tea__helopeltis,1.0,0.9777777777777777,0.9887640449438202,45.0
tea__red_spot,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
tomato__bacterial_spot,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
tomato__early_blight,0.9512195121951219,0.8666666666666667,0.9069767441860465,45.0
tomato__healthy,0.9183673469387755,1.0,0.9574468085106383,45.0
tomato__late_blight,0.88,0.9777777777777777,0.9263157894736842,45.0
tomato__leaf_mold,0.9782608695652174,1.0,0.989010989010989,45.0
tomato__septoria_leaf_spot,1.0,0.8888888888888888,0.9411764705882353,45.0
tomato__spider_mites_two_spotted_spider_mite,1.0,0.9111111111111111,0.9534883720930233,45.0
tomato__target_spot,0.8958333333333334,0.9555555555555556,0.9247311827956989,45.0
tomato__tomato_mosaic_virus,1.0,0.9777777777777777,0.9887640449438202,45.0
tomato__tomato_yellow_leaf_curl_virus,1.0,1.0,1.0,45.0
